id,key,mode,time_signature,danceability,energy,loudness,speechiness,acousticness,instumentalness,liveness,valence,tempo
48ndiF5dcv7WWm8KBcSm2X,0,1,4,0.437,0.376,-13.25,0.0869,0.936,0.0011,0.109,0.427,79.188
0bXxKkYJNxOqHjeOrYanvS,4,1,3,0.155,0.434,-9.074,0.0361,0.353,0.000589,0.145,0.275,85.973
3TgMcrV32NUKjEG2ujn9eh,1,1,4,0.618,0.824,-5.316,0.0301,0.000297,6.87e-05,0.0649,0.598,121.238
4EGVeQKn8WyzCmCx5YTIc4,6,1,4,0.427,0.284,-12.959,0.0309,0.809,0.00799,0.124,0.185,127.929
0cnVBn7JsFlShF65EJe2Or,4,1,4,0.393,0.226,-14.949,0.0373,0.889,0.00505,0.0792,0.136,75.427
2HwwGKPcI0rqnsFCqATXuj,3,1,4,0.555,0.428,-7.087,0.0286,0.424,3.35e-06,0.0981,0.199,121.188
7iPlcFvOMOzt6v0QvcAueZ,4,1,4,0.368,0.511,-5.477,0.0329,0.00499,0.000728,0.117,0.0504,149.243
3woRy7uxzl1lO2XO99oHsN,1,1,4,0.686,0.469,-9.065,0.291,0.612,0,0.121,0.156,72.998
2ySRRtrAwDUF4FipiF1Djt,0,1,4,0.89,0.426,-7.465,0.324,0.167,0,0.136,0.691,139.983
08ZCgkLKpcgrcSPCHN2v8J,2,0,4,0.534,0.899,-4.18,0.0509,0.00898,4.32e-05,0.4,0.432,108.033
2gaLuVIyWLoW0Gfa2NLJnS,10,0,4,0.764,0.592,-7.942,0.0754,0.0516,3.88e-06,0.11,0.525,155.033
2N6bB5ck67CNILInUX1Ctw,1,0,4,0.353,0.753,-6.276,0.74,0.0833,0,0.383,0.432,191.142
1BGIZCaDu29MK8DsykL7Hb,1,1,4,0.547,0.462,-6.04,0.308,0.0972,5.29e-06,0.0933,0.16,111.524
2DePNQmfS4t6iUETRU72uH,8,0,4,0.532,0.292,-10.167,0.381,0.84,0,0.321,0.635,82.441
6qVwzCWDC6Kiatl7v2it7D,9,0,4,0.497,0.697,-4.888,0.19,0.211,0,0.165,0.799,79.164
7eXT7U3FKrOM88xr1DsNwc,0,1,4,0.613,0.668,-6.134,0.162,0.00421,2.04e-06,0.324,0.622,150.173
4MT0yNKM7GYPkRsk1Uvo7G,7,1,4,0.717,0.168,-12.432,0.104,0.936,0,0.127,0.592,100.811
6Dw696uOB5aKDyLzUJREBr,4,1,4,0.47,0.792,-4.788,0.0972,0.0483,2.08e-06,0.129,0.409,150.956
2IG5I8jLFkX8tFSOUH3DzT,4,1,3,0.448,0.21,-11.614,0.0368,0.803,0,0.151,0.229,96.337
0YBChynpAc8Sji0I067rzT,7,0,3,0.69,0.553,-5.354,0.0395,0.283,1.57e-06,0.14,0.645,107.975
2LwodLGnuRGcqZA14BgeMZ,2,1,5,0.472,0.553,-5.592,0.223,0.265,0,0.161,0.328,202.984
4WzhjxvLP95y7AMDy0Atwb,7,1,3,0.492,0.267,-9.25,0.0336,0.8,0,0.249,0.137,117.679
0JjJGeUbFqCRe4nKNVCAz9,0,1,4,0.705,0.516,-5.77,0.119,0.583,0,0.078,0.421,115.761
2extUHGb7pATAetKTWP0yH,0,0,4,0.582,0.622,-5.573,0.192,0.354,0,0.489,0.495,149.796
1CThXRPjFSZZuKDjFtUusq,11,0,3,0.411,0.793,-3.995,0.11,0.0469,0,0.0771,0.611,111.471
5DSEsH11oe6IyStmZ8o0NT,7,1,3,0.429,0.221,-9.096,0.0432,0.983,0,0.168,0.327,87.072
4KOHpFQGEvkJFcwwm7g3ax,11,1,4,0.458,0.506,-5.375,0.0271,0.281,7.76e-06,0.236,0.233,80.04
3jyVsxt4UNU4PEZR0klPAK,4,1,4,0.605,0.66,-3.89,0.0386,0.379,0,0.257,0.742,172.155
0c0myGBE4tomCo74Ipyr4G,9,1,4,0.612,0.453,-5.945,0.0307,0.754,5.23e-05,0.119,0.178,120.082
4nHV7YyK8KruEtie7JZVpJ,0,1,4,0.573,0.539,-5.964,0.0365,0.312,3.17e-06,0.0929,0.367,152.106
7B2mVnUVnCiq1fptYMQqwh,9,0,4,0.763,0.639,-5.269,0.0422,0.694,0,0.348,0.638,108.039
5UOQ50D5xDZ0YwnmZWcutu,7,1,4,0.555,0.64,-5.081,0.0259,0.415,7.42e-06,0.0953,0.828,78.946
6Ze4jf0D5XFZbBr064zf8C,5,1,4,0.485,0.22,-7.886,0.0296,0.606,0,0.151,0.153,80.692
5BIeIgoBJAl7GI6yG68JKo,0,1,4,0.668,0.362,-8.668,0.0303,0.805,0,0.32,0.349,83.973
29h1lB9PTcekp5oUvCt2Za,0,1,4,0.683,0.456,-6.588,0.0277,0.277,1.66e-05,0.142,0.0987,127.954
6XZFRtDF6VB7FeFQzZ0UWG,7,1,4,0.627,0.867,-4.283,0.0594,0.0953,0,0.305,0.818,121.959
1tBIs8mlLyU5Ptd1vec4Vm,11,1,4,0.672,0.53,-6.213,0.0367,0.205,0.000148,0.122,0.636,97.899
57x4rhVOEoPQbJYcIXS1WK,11,1,4,0.427,0.223,-8.152,0.0305,0.902,0,0.128,0.349,87.065
6liLOaQxM5MFWywFdCKo0y,11,1,4,0.661,0.761,-5.288,0.0555,0.102,0.0106,0.624,0.704,105.913
0HtY7ILTZVSd4i44FuOrur,1,0,4,0.712,0.861,-6.779,0.0428,0.0484,0.000694,0.0776,0.767,126.058
2Ruu0tAMyAJoOvNPy5BuPC,6,1,4,0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39
5FruSFyMn5v6Tl5EPib89l,7,1,4,0.621,0.565,-8.033,0.0311,0.659,0,0.116,0.775,79.922
6yG2bpHo6CP5eQ4isLtWvC,6,0,4,0.705,0.669,-10.479,0.0761,0.52,0.0195,0.0503,0.82,97.912
5ZRP4MYa5WdaQNql23Nqeq,1,0,4,0.68,0.53,-11.544,0.0362,0.566,0,0.125,0.79,110.498
6xpXTGznpnc2GcylNmNnlr,1,1,4,0.543,0.57,-9.105,0.0362,0.583,0.000625,0.065,0.621,105.441
5KPeSaRC84NJp4F7f7H6Lm,11,1,4,0.652,0.633,-9.692,0.159,0.75,0,0.63,0.9,164.988
3zojMGtQn3iDpiulkHfwc9,1,1,4,0.604,0.286,-8.975,0.0314,0.704,0,0.0925,0.57,104.026
5zr3mpLwwj1lKRC0ywtLhT,4,1,4,0.638,0.685,-9.657,0.0286,0.00435,0,0.186,0.766,101.003
30C91h0O9OLREDN2i8zAs9,7,1,4,0.546,0.702,-7.485,0.0608,0.308,0,0.318,0.511,134.507
7cW1wHpSLYgKWzoWlOCPFJ,1,1,4,0.683,0.57,-6.68,0.437,0.116,0,0.113,0.307,163.855
577YBGuskWkVDCxZrLRB4v,1,1,4,0.964,0.496,-6.114,0.424,0.00163,5.04e-06,0.115,0.107,127.036
39RWYLt6hgk9BbhkDgaHW9,5,0,4,0.915,0.461,-5.796,0.316,0.0147,0,0.107,0.428,132.987
1Szfm2XAx3Kgl55dyl8sTU,8,1,4,0.785,0.495,-8.844,0.586,0.0438,0,0.218,0.342,95.348
4F6yN5FsFW10Ucx7cLCzBh,1,1,4,0.795,0.4,-5.858,0.327,0.297,1.55e-05,0.108,0.105,77.016
52i143Ph5c3RQaQFBXWix1,10,0,4,0.888,0.437,-9.284,0.109,0.0634,0,0.112,0.162,99.955
3yIZgYN7AKO3cDueyhpuCS,10,0,4,0.885,0.515,-7.662,0.213,0.00221,0,0.0885,0.134,133.104
3zxiTHxE4MxwuYf8aLQ9ax,2,1,4,0.87,0.543,-6.053,0.417,0.0513,0,0.261,0.223,140.104
6pidGCJ9El17HdXaPO0OO2,7,1,4,0.498,0.578,-7.001,0.308,0.000974,1.37e-06,0.0838,0.463,159.933
2WqTKOAUmv7hz9ZzGnXHrY,1,0,4,0.936,0.663,-7.691,0.366,0.217,0,0.12,0.708,109.949
6XeZ32B9HbV6ZrU6NTR2iM,0,0,4,0.677,0.522,-6.237,0.399,0.234,0,0.148,0.69,139.726
0I1gjYB0yjwYXBn9SVOh3n,7,1,4,0.778,0.64,-4.643,0.0341,0.0655,0,0.167,0.175,140.021
3xibgHbKeEgSSAXR5z3cwt,2,1,4,0.517,0.613,-6.809,0.347,0.138,0,0.117,0.543,83.176
621TcU9vr61MbDFqnZ8X0x,9,0,4,0.53,0.605,-6.227,0.0512,0.194,0,0.145,0.419,143.047
